reviewText,overall,Sentiment
This super-speed card works great in my phone. I haven't had any problems with it since I bought the thing! I'm certainly able to record HD video right onto the card no problem. I recommend this for those who need quick data delivery to and from there external card. I recommend it!,5,Pozitif
"I purchased this product knowing there might be an issue with the galaxy s4. This card worked for a week or two then began to spontaneously unmount and would mount itself back in. The unmount periods began to become longer than a few hours, days! I tried this card in a galaxy note 2 still with the same result. I attempted to contact Sandisk customer service and utilize the warranty. They know of the problem and began the exchange process then instructed me to wait for a mailing label that never came. I called back and was told that they would re-email it to me. To this day I am still waiting for that email. I have never had this issue with this company but with  ever changing technology, it is what it is, right? I know this card will be good for some device I have. If you own a galaxy phone beware!! I have not attempted to use this in a samsung tablet so on that I cannot review.",1,Negatif
"Bought this to use with my Samsung HMX W300. Works well, good transfer speeds and comes with a normal size SD card to transfer if needed.",5,Pozitif
"This was an inexpensive way to get my Galaxy Note II from 16GB to 32GB of memory. Its plenty fast and can hold lots of photos, music, etc.",5,Pozitif
Purchased two 32 GBcards  for the two new Samsung S4s in or family.  After using for several weeks no issues at all saving a variety of files - photos and Office documents.,4,Pozitif
"Bought this for my S3 and loaded it with 4 seasons of Futurama, 5 full length HD movies, several documentaries, and a dozen or so 30 minute comedy shows with plenty of room left over for pictures, etc...Only slight nitpick is when booting up into recovery mode on the S3 it will not recognize the card. Wanted to update the phone to the latest version of Android and it would not see it. Had to resort to a 2GB MicroSD I had laying around. That wasn't a SD card issue but I thought I would throw that in.",5,Pozitif
good scan disk but the wrong one for my camera I needed a class 6 this class 10 locks up for no reason and even will lock up my computer when it does..,4,Negatif
"Just received this today. Removed it from the packaging and inserted it into my Samsung Galaxy S3 (Verizon) and powered the unit back up and the storage was available. No formatting required. Worked the first time out. Settings showed 29.71GB of total space (32GB version) and 29.71GB of free space. I like the fact that a SD adapter came with it. Should I ever need to insert the card into my laptop it will come in handy. (yes I can plug my phone directly to my laptop but if I ever swap this 32GB card out of my phone and replace it with a 64GB version, I can use this 32GB version via the adapter for other purposes.)",5,Pozitif
What more can I say?I'm using it to double the memory of my Asus TF700 (from 32 to 64Gb) and this card has a good read/write performance and it's SanDisk!Recommended.,5,Pozitif
"Works as advertised, no issues to date.  There are faster cards out there but you will pay more for them.",5,Pozitif
